Request time on server, client time on server, client working time 
0.07507546666666667, 76.40529946666666, 620.8
0.0748002, 128.2974535111111, 530.0666666666667
0.07825288, 250.32569767999996, 982.48
0.08233005714285713, 341.74581459999996, 1282.6
0.07379044444444445, 292.95231861481477, 1232.5555555555557
0.07849392, 417.66569769333336, 1732.74
0.07989772666666667, 327.99863990666665, 1362.34
0.07933010457516339, 429.51899011111107, 2003.8039215686274
0.07713580666666667, 534.1011314733333, 2681.46
0.07976567999999999, 442.04898978, 1769.88
