Request time on server, client time on server, client working time 
0.20232656666666665, 0.27061989999999997, 1645.0
0.1331872888888889, 0.19272744444444445, 1740.866666666667
0.12643196, 0.19469223999999996, 1224.2
0.12176747619047619, 0.18721662857142854, 1477.37142857142857
0.11015214074074073, 0.17259037037037037, 1890.4444444444445
0.1607799515151515, 0.21717874545454544, 2132.0
0.10874538974358973, 0.16817808205128204, 2533.6615384615384
0.09840800888888888, 0.15054840888888887, 2458.2933333333333
0.10183001960784313, 0.16064959607843135, 3475.470588235294
0.0822740298245614, 0.13330619298245613, 3600.9684210526316
