Request time on server, client time on server, client working time 
0.14561013333333334, 16.082177933333334, 131.4
0.11339117777777778, 81.49254753333334, 504.6
0.10014354666666665, 232.0961870666666, 1567.04
0.09989503809523809, 218.04946416190475, 1384.0285714285715
0.10511147407407408, 235.40646133333334, 1547.8444444444444
0.08865694339622641, 182.91063920125785, 1088.301886792453
0.08492508666666666, 162.58158489333334, 1264.74
0.08358644230769231, 163.48865408333333, 1183.75
0.08818760666666665, 472.32940978666664, 3104.92
0.08802542, 578.0923018933332, 3374.84
