Request time on server, client time on server, client working time 
0.21904605, 0.28484181999999997, 2835.1
0.23921223777777775, 0.33553406666666663, 1859.4
0.23114572888888887, 0.30449003666666663, 2346.9
0.23678021999999999, 0.31145853999999995, 1885.9
0.24012748888888885, 0.31955593555555556, 5436.2
0.23799975, 0.34889685, 3356.7
0.23822448999999998, 0.31291063999999996, 5833.3
0.23769719777777776, 0.31086047888888885, 8156.0
0.25292291999999994, 0.33395479, 8832.0
0.23612251999999997, 0.32185316999999997, 4913.0
0.25278564000000003, 0.33887741, 8496.2
