Request time on server, client time on server, client working time 
0.39148714, 0.4806908099999999, 502.3
0.38636903222222224, 0.5049960166666667, 2279.7
0.39743854666666667, 0.48849170444444445, 3444.0
0.40013197, 0.4916508599999999, 3127.1
0.40943436, 0.49574843, 2349.5
0.41657972833333334, 0.504168635, 9229.1
0.44060480999999996, 0.5358928411111111, 9912.9
0.38941443, 0.47219480999999996, 4425.2
0.39386920000000003, 0.47441093, 5526.8
0.41537121, 0.53197639, 5618.2
0.41914719333333333, 0.5093069044444445, 8034.9
